Company,alt_name,NewsID,Year,Circ,City,State
bangor daily news,,196,1997,D,bangor,me
the capital,,197,1994,E,annapolis,md
the sun,,199,1994,B,baltimore,md
the herald-mail,,200,1998,E,hagerstown,md
the daily mail/morning herald,,201,1994,E,hagerstown,md
the boston globe,,202,2014,B,dorchester,ma
boston herald,,203,1997,B,boston,ma
the christian science monitor,,204,1994,C,boston,ma
gloucester daily times,,205,2012,G,gloucester,ma
cape cod times,,207,1997,E,hyannis,ma
the sun,,208,1994,D,lowell,ma
the daily news of newburyport,,210,1998,F,newburyport,ma
north adams transcript,,211,1998,G,north adams,ma
the patriot ledger/the enterprise,,212,2013,E,quincy,ma
the salem news,,213,2003,E,beverly,ma
the southbridge evening news,,214,2001,G,southbridge,ma
the republican,,216,2004,D,springfield,ma
waltham news-tribune,,218,1997,G,waltham,ma
telegram & gazette,,219,1998,C,worcester,ma
the ann arbor news,,221,1997,D,ann arbor,mi
battle creek enquirer,,222,1998,E,battle creek,mi
the bay city times,,224,1997,E,bay city,mi
detroit free press,,225,1997,A,detroit,mi
the detroit news,,226,1997,B,detroit,mi
the flint journal,,227,1997,C,flint,mi
the grand rapids press,,228,1997,C,grand rapids,mi
the holland sentinel,,229,1997,F,holland,mi
the jackson citizen patriot,,230,2000,E,jackson,mi
kalamazoo gazette,,231,1997,D,kalamazoo,mi
the monroe evening news,,232,1998,F,monroe,mi
the muskegon chronicle,,233,1997,E,muskegon,mi
the oakland press,,234,1994,D,pontiac,mi
traverse city record-eagle,,235,1998,E,traverse city,mi
duluth news tribune,,236,2003,E,duluth,mn
the free press,,238,1994,E,mankato,mn
minneapolis star tribune,,240,2013,B,minneapolis,mn
post-bulletin,,242,1998,E,rochester,mn
st. paul pioneer press,,243,2002,C,st. paul,mn
winona daily news,,245,1998,F,winona,mn
the sun herald,,247,1994,E,biloxi,ms
the greenwood commonwealth,,248,1997,G,greenwood,ms
the clarion-ledger,,249,1994,C,jackson,ms
enterprise-journal,,251,1997,F,mccomb,ms
the natchez democrat,,252,1998,F,natchez,ms
columbia daily tribune,,253,1998,F,columbia,mo
the joplin globe,,254,2000,E,joplin,mo
the kansas city star,,255,1997,B,kansas city,mo
mexico ledger,,257,2001,G,mexico,mo
springfield news-leader,,258,1997,D,springfield,mo
st. joseph news-press,,260,1997,E,st. joseph,mo
st. louis post dispatch,,263,2014,B,st. louis,mo
billings gazette,,265,1999,D,billings,mt
great falls tribune,,266,1998,E,great falls,mt
the livingston enterprise,,267,2005,H,livingston,mt
missoulian,,268,1998,E,missoula,mt
